"cds_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","locus_tag","protein","protein_id"
"lcl_NZ_CP166677.1_cds_WP_054019714.1_3058",2163.64410008172,-0.288118560866972,0.207032014059122,0.15451230146424,0.213164382890276,NA,"ABFT21_RS15440","LysR substrate-binding domain-containing protein","WP_054019714.1"
"lcl_NZ_CP166677.1_cds_WP_054019416.1_1608",151.228377406163,0.391365890791831,0.292784586503122,0.155347917473846,0.214226297158576,NA,"ABFT21_RS08105","hypothetical protein","WP_054019416.1"
"lcl_NZ_CP166677.1_cds_WP_054022694.1_2861",10082.0413849805,-0.272844713637841,0.1979740199487,0.155359690942806,0.214226297158576,NA,"ABFT21_RS14455","AAA family ATPase","WP_054022694.1"
"lcl_NZ_CP166677.1_cds_WP_082368152.1_3086",1325.09722219309,0.435614057936984,0.331542451303907,0.155954479042311,0.214992718859678,NA,"ABFT21_RS15585","FecCD family ABC transporter permease","WP_082368152.1"
"lcl_NZ_CP166677.1_cds_WP_054018371.1_3428",1241.67254616739,0.392507428539281,0.293964930991281,0.156291491660188,0.215403487256872,NA,"ABFT21_RS17295","hypothetical protein","WP_054018371.1"
"lcl_NZ_CP166677.1_cds_WP_157549398.1_3886",175.288554112782,0.497656258697801,0.395137905356643,0.156452510694973,0.215571553822219,NA,"ABFT21_RS19605","LysR family transcriptional regulator","WP_157549398.1"
"lcl_NZ_CP166677.1_cds_WP_393939416.1_49",1272.32234388672,-0.275655236414937,0.200520752864068,0.156554994554002,0.215658902610344,NA,"ABFT21_RS00250","IS3 family transposase","WP_393939416.1"
"lcl_NZ_CP166677.1_cds_WP_054021611.1_1488",14755.0455919947,-0.236796360629255,0.170594173554509,0.156653712795554,0.215741021840507,NA,"ABFT21_RS07500","aminopeptidase P family protein","WP_054021611.1"
"lcl_NZ_CP166677.1_cds_WP_082367983.1_2707",604.293984415884,0.421832961222667,0.321289779916316,0.157457495055496,0.216793860798895,NA,"ABFT21_RS13685","alpha/beta hydrolase","WP_082367983.1"
"lcl_NZ_CP166677.1_cds_WP_197284580.1_211",5489.46787533832,0.294623766040826,0.213101747738901,0.157553286651507,0.216871627359372,NA,"ABFT21_RS01070","HlyD family secretion protein","WP_197284580.1"
"lcl_NZ_CP166677.1_cds_WP_054018745.1_2041",13999.1552525808,-0.245361362227406,0.177322703263227,0.158597176578765,0.21825408410702,"dnaX","ABFT21_RS10290","DNA polymerase III subunit gamma/tau","WP_054018745.1"
"lcl_NZ_CP166677.1_cds_WP_054022558.1_3139",1057.50977963757,0.480853987910865,0.379297144726012,0.158640817943885,0.218259698901849,NA,"ABFT21_RS15850","DUF802 domain-containing protein","WP_054022558.1"
"lcl_NZ_CP166677.1_cds_WP_054019239.1_4929",4228.85681861335,0.286905383716365,0.209083245859223,0.159067476853966,0.218792139068395,NA,"ABFT21_RS24870","STELLO glycosyltransferase family protein","WP_054019239.1"
"lcl_NZ_CP166677.1_cds_WP_054018892.1_4337",595.389569132154,-0.41421470787052,0.318188053220264,0.159480352970213,0.21930536075191,NA,"ABFT21_RS21890","chemotaxis protein CheW","WP_054018892.1"
"lcl_NZ_CP166677.1_cds_WP_054020958.1_1424",3958.05592447506,-0.314891111151331,0.233526418554347,0.159559368065318,0.219359340547311,NA,"ABFT21_RS07180","NAD-dependent epimerase/dehydratase family protein","WP_054020958.1"
"lcl_NZ_CP166677.1_cds_WP_082368568.1_292",373.402709545266,-0.378357664319362,0.286542527291736,0.159860939370752,0.219719183484913,NA,"ABFT21_RS01475","nucleotide triphosphate diphosphatase NUDT15","WP_082368568.1"
